;;;
Item;Qty;Reference(s);Value
1;4;C1, C2, C6, C8;0.1uF
2;2;C3, C4;1uF
3;2;C5, C7;10uF
4;1;D1;1N914
5;3;D2, D4, D5;LED
6;1;J0;PJ-320B
7;1;J40;MIDI_1_IN
8;1;J70;USB_A
9;1;J90;MIDI_1_OUT
10;2;J96, J99;22232041
11;3;R2, R3, R7;220
12;3;R4, R11, R14;10K
13;1;R8;470
14;3;R10, R12, R13;50
15;1;S1;MOMENTARY-SWITCH-SPST-SMD-5.2MM
16;1;U1;Teensy4.1
17;1;U2;SN74HC125N
18;1;U3;H11L1M
19;1;U4;LM1117-3.3
20;1;U5;ESP32-C3-WROOM-02
